address,version,token0,token1,decimals0,decimals1,fee,block_number,timestamp,id
0x9cc11d23adf8636c4b814a0a3dd0eb55c1715f5c,3,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0xc3f7b493963e96e11a78f7499fa2e3f9436e8888,18,18,25,0,0,28
0x6430ac35b3c10e04b397d858892866462b9ab009,3,0x55d398326f99059ff775485246999027b3197955,0x8831497fdefa2c096d2f47c15a72c7c569979dfd,18,18,25,0,0,29
0x8562faea3faa2fb9fd5a9281d3cb4f27749a73aa,3,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0xe054017a2f0ecfa294b08a74af319bce0b985a39,18,18,25,0,0,30
0x998e645b4878c2ae255dd6208992d4690dd3c614,3,0x55d398326f99059ff775485246999027b3197955,0x939c60f96f4598f7caf080c41f629d50af3a3a3a,18,18,25,0,0,31
0x7c1f8f5d8d000b00a2eaa3c21071dbca18f6825d,3,0x55d398326f99059ff775485246999027b3197955,0xdc84096074269d8f304d476124101249d105b60d,18,18,25,0,0,32
0xa8147ececc3acb7c3b9dbd6744c8844125b16f9d,3,0x55d398326f99059ff775485246999027b3197955,0xf273f77b4b88bb85e884a0e4521cc091276b8cae,18,18,25,0,0,33
0x6256e92439d36183cbbf6afa06480c53f1e0ecb4,3,0x42712f4be7236fc3cda2a2e1d40e9ccef2fccf2b,0x55d398326f99059ff775485246999027b3197955,18,18,25,0,0,34
0x3e6ab1a374598854bff8bcec960951f14a05328a,3,0x55d398326f99059ff775485246999027b3197955,0xb22a94a2ab0f84c6bec07b1a8a39acc1bdd7db23,18,18,25,0,0,35
0x9b7b6c3769363f7d0643850cbe0007d78e4676a9,3,0x55d398326f99059ff775485246999027b3197955,0x8b879689d49e95cc997916d0d7f4357578cf712e,18,18,25,0,0,36
0x827cbac35d1f041a277a16e161e290df7122cf0d,3,0x28ba6ef35f27f1ed3873cc788698d2ddb28d2a82,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,18,25,0,0,37
0xb842e4f488aa2e009db71ba502560301cc3ae047,3,0x28ba6ef35f27f1ed3873cc788698d2ddb28d2a82,0x7130d2a12b9bcbfae4f2634d864a1ee1ce3ead9c,18,18,25,0,0,38
0xebe82f5169c2c6ebdb9636a272ca7a190a0a58db,3,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0xca7df3c62aee95e44d2b6ee51d1fd95a0b2d6688,18,18,25,0,0,39
0xc29b6c753b474fa14771e6a51ddb12d596019b45,3,0x55d398326f99059ff775485246999027b3197955,0xd723f2aea80d1620864ac059f34f168fa223b2f1,18,18,25,0,0,40
0xa23acefe2f6d75ad26035e7cd5e05fc26a471cb2,3,0x55d398326f99059ff775485246999027b3197955,0x9c6d21dd22e6bce4eb43aa3e8e88d6d62140323d,18,18,25,0,0,41
0xf15a72b15fc4caed6fadb1ba7347f6ccd1e0aede,3,0xdd325c38b12903b727d16961e61333f4871a70e0,0xe9e7cea3dedca5984780bafc599bd69add087d56,18,18,25,0,0,42
0xb57fa720d0b7bdb915f5ce421d75a0f85f8fd89e,3,0x55d398326f99059ff775485246999027b3197955,0xdc4b8d8216852f24eb1cbcace4fcd21108d0c909,18,18,25,0,0,43
0x202841158a1ffbd42f0a543d15340c426d0b58a5,3,0x55d398326f99059ff775485246999027b3197955,0xcfaf6db900d6bc01a2ea46ad123c4cefbff96054,18,18,25,0,0,44
0xf76a3bbfc1ad70aa02bc652e26adee052ba8f8c6,3,0x0a23cc34a76ac6f45c5e2803ca1f45c0eaacf2f0,0x55d398326f99059ff775485246999027b3197955,18,18,25,0,0,45
0xbd52a8c4db51bc7c2e769b52db0a39943b94acc9,3,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0xc3c68fe0d33f3d53c13a07352280f8521a86d745,18,18,25,0,0,46
0x25a32cb79ad2a65499e29f862ff002d7e13ff2e0,3,0x55d398326f99059ff775485246999027b3197955,0xc39612feb3e97af9a307ec08370ab01cc1ad13c2,18,18,25,0,0,47
0x1cf5b4a24c3a44bba7066166e68d80c628bd2fa6,3,0x55d398326f99059ff775485246999027b3197955,0xdf1f84d8e615a019ca4b8252ce1c6c724f6514e0,18,18,25,0,0,48
0xd913af31a0c9666835be31c6024ace4e3d83a99a,3,0x55d398326f99059ff775485246999027b3197955,0xa40dea9da281a39a96b650befe4d21766d309261,18,18,25,0,0,49
0x66f289de31eef70d52186729d2637ac978cfc56b,3,0x924fa68a0fc644485b8df8abfa0a41c2e7744444,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,18,25,0,0,50
0x9793ae7542b87c477c8092b2b7a72f046b9fcd91,3,0x4822152f94af9f26bb443163b990cb01661bb7eb,0x55d398326f99059ff775485246999027b3197955,18,18,25,0,0,51
0x1076e13381f291610979917863fed0ced1140c97,3,0x0f3ba1d1571511de2295866e91ea4a6c152a7999,0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d,18,18,25,0,0,52
0x7865ad24628060a3ab3f6b95913b01b70ca7327c,3,0xb72962568345253f71a18318d67e13a282b187e6,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,18,25,0,0,53
