protocol,address,token0_symbol,token1_symbol,tickSpacing,fee,token0_address,token1_address,decimals0,decimals1,dex
PancakeSwapV3,0x1b6d1407a789bd93df92fb8737cc408a45c34b15,BTCB,PLNR,50,2500,0x7130d2a12b9bcbfae4f2634d864a1ee1ce3ead9c,0x986e0cdbe4fa96ae6a629e8418119067d56a5cc3,18,8,PancakeSwapV3
UniswapV3CL,0x7a24d13c03c95ce8eb61dc3e68baa442602e0744,KSA,WBNB,1,100,0x0b92ad62c41b44725973db9ecabb79929b89b822,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,18,UniswapV3CL
UniswapV3CL,0x0aa5198083946d9450971860c8f2f5f4b072e0b7,KSA,WBNB,10,500,0x0b92ad62c41b44725973db9ecabb79929b89b822,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,18,UniswapV3CL
PancakeSwapV3,0x5219ff27bb2c6a5dbde0077ea9cdf7f97d78a140,WBNB,ZIO,1,100,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0xfb93c84056541c367aa46c2a3676d14f47e5188d,18,18,PancakeSwapV3
PancakeSwapV3,0x6e8017f9d95819599a420f6aba8f5148c2543fb3,99812,WBNB,1,100,0xb7e5663075c81fdc725b08920d0d640dd0544ff0,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,18,PancakeSwapV3
UniswapV3CL,0xcf835595075196bb68de3a96f51f83bacd6a059b,WBNB,ASTOR,200,10000,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0xfab6d080c9722ad37c86e0820b88ad7e7d908ae0,18,18,UniswapV3CL
UniswapV3CL,0x156b90d0f57c250d9b2e7dcd3ecec6b0e393668c,BNB,WBNB,200,10000,0x9918d53e3583c876556de1e83f139441a5918856,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,18,UniswapV3CL
UniswapV3CL,0xd7f24cc072b3906b678007f27dfe230edae01def,WBNB,EOE,200,10000,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0xe5f245634af5117ae1cb93b579f911fce6ba8b91,18,18,UniswapV3CL
PancakeSwapV3,0x7e5a18c1f460ad08825630acae26e628ed388bd1,WBNB,SWVRCH,200,10000,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0xfb20c07f6e60143ec73e736b98fbe65c5e3f362b,18,18,PancakeSwapV3
PancakeSwapV3,0x125f136e6010102470a7c3e0bfe22e6184d0bf04,test,WBNB,200,10000,0xbacf1cfd5517f5e23739199798c2fda4b3c556cc,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,18,PancakeSwapV3
UniswapV3CL,0xeb9faa3ead8d576168f7615a6918f8af924f28cd,HODL4,USDC,60,3000,0x197fb6855e0d6a237a7ab6228e3a0b8168fe5dec,0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d,18,18,UniswapV3CL
PancakeSwapV3,0xeebc68e96a4af43da47d3203d43cb7dc4efa394f,XRP,USDT,10,500,0x05dc542b5846695eba51396727e415a7a7952163,0x55d398326f99059ff775485246999027b3197955,6,18,PancakeSwapV3
UniswapV3CL,0xff69032682df8c47277a15d3233de784442e9357,USDT,?,1,100,0x55d398326f99059ff775485246999027b3197955,0x7cafc6e5809754c917004fe0adc8916ff4709a4c,18,18,UniswapV3CL
UniswapV3CL,0x748b2c83df2edfa8aed52b600b2971b78329cb78,USDT,WBNB,10,500,0x061ad94fc46a98b368495fd41571ce52f06687a1,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,6,18,UniswapV3CL
UniswapV3CL,0x9133e95d1769f058299fc88f4c1bcad2cc4cc2e7,USDT,aUSDz,1,100,0x55d398326f99059ff775485246999027b3197955,0xc291a940a3af49877584260753032c2390d87989,18,18,UniswapV3CL
UniswapV3CL,0x249fb8cdde8c114f6d7658b0539c0041152a7755,WBNB,ASTOR,200,10000,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0xf14187608502b9b176206758cad6bbff6b3a697a,18,18,UniswapV3CL
PancakeSwapV3,0x891fe67fe589f92409d8046ec573134cb709ec5d,uSUI,WBNB,50,2500,0x5560da712d5e24352d90e6949d30e577b682901a,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,18,PancakeSwapV3
UniswapV3CL,0x102f7a314727c6e33704fb590020b503467bd930,aBTCz,BTCB,1,100,0x5e36cccf66f1ed4ef092328be511298a25889b82,0x7130d2a12b9bcbfae4f2634d864a1ee1ce3ead9c,18,18,UniswapV3CL
PancakeSwapV3,0x34f98ba060459a52ad2e8adba42e6ff3f4ad7268,aBTCz,BTCB,1,100,0x5e36cccf66f1ed4ef092328be511298a25889b82,0x7130d2a12b9bcbfae4f2634d864a1ee1ce3ead9c,18,18,PancakeSwapV3
PancakeSwapV3,0xe998ab20a5bb3f4066c3b74beb68888bfc72f4ed,USDT,PI,10,500,0x55d398326f99059ff775485246999027b3197955,0xf08035e08051345054bef0ada905daedafd80a16,18,6,PancakeSwapV3
UniswapV3CL,0x0509a07e64f3131c7957f6d2ccca09971b1b1f33,WBNB,GALABET,200,10000,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0xeecaff9b92b60e3ef0980fc09dd9e87da53bb5a6,18,18,UniswapV3CL
